OPCS_4.9,Description
V25.4,V25.4: Primary posterior laminectomy decompression of lumbar spine
V25.5,V25.5: Primary posterior decompression of lumbar spine NEC
V25.6,V25.6: Primary lateral foraminotomy of lumbar spine
V25.7,V25.7: Primary anterior corpectomy of lumbar spine and reconstruction HFQ
V25.8,V25.8: Other specified primary decompression operations on lumbar spine
V25.9,V25.9: Unspecified primary decompression operations on lumbar spine
V26.1,V26.1: Revisional extended decompression of lumbar spine and intertransverse fusion of joint of lumbar spine
V26.2,V26.2: Revisional extended decompression of lumbar spine NEC
V26.3,V26.3: Revisional posterior decompression of lumbar spine and intertransverse fusion of joint of lumbar spine
V26.4,V26.4: Revisional posterior laminectomy decompression of lumbar spine
V26.5,V26.5: Revisional posterior decompression of lumbar spine NEC
V26.6,V26.6: Revisional lateral foraminotomy of lumbar spine
V26.7,V26.7: Revisional anterior corpectomy of lumbar spine and reconstruction HFQ
V26.8,V26.8: Other specified revisional decompression operations on lumbar spine
V26.9,V26.9: Unspecified revisional decompression operations on lumbar spine
V27.1,V27.1: Primary decompression of spinal cord and fusion of joint of spine NEC
V27.2,V27.2: Primary decompression of spinal cord NEC
V27.3,V27.3: Revisional decompression of spinal cord NEC
V27.8,V27.8: Other specified decompression operations on unspecified spine
V27.9,V27.9: Unspecified decompression operations on unspecified spine
V28.1,V28.1: Primary insertion of lumbar interspinous process spacer
V28.2,V28.2: Revisional insertion of lumbar interspinous process spacer
V28.8,V28.8: Other specified insertion of lumbar interspinous process spacer
V28.9,V28.9: Unspecified insertion of lumbar interspinous process spacer
V29.1,V29.1: Primary laminectomy excision of cervical intervertebral disc
V29.2,V29.2: Primary hemilaminectomy excision of cervical intervertebral disc
V29.3,V29.3: Primary fenestration excision of cervical intervertebral disc
V29.4,V29.4: Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
V29.5,V29.5: Primary anterior excision of cervical intervertebral disc NEC
V29.6,V29.6: Primary microdiscectomy of cervical intervertebral disc
V29.8,V29.8: Other specified primary excision of cervical intervertebral disc
V29.9,V29.9: Unspecified primary excision of cervical intervertebral disc
V30.1,V30.1: Revisional laminectomy excision of cervical intervertebral disc
V30.2,V30.2: Revisional hemilaminectomy excision of cervical intervertebral disc
V30.3,V30.3: Revisional fenestration excision of cervical intervertebral disc
V30.4,V30.4: Revisional anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
V30.5,V30.5: Revisional anterior excision of cervical intervertebral disc NEC
V30.6,V30.6: Revisional microdiscectomy of cervical intervertebral disc
V30.8,V30.8: Other specified revisional excision of cervical intervertebral disc
V30.9,V30.9: Unspecified revisional excision of cervical intervertebral disc
V31.1,V31.1: Primary anterolateral excision of thoracic intervertebral disc and graft HFQ
V31.2,V31.2: Primary anterolateral excision of thoracic intervertebral disc NEC
V31.3,V31.3: Primary costotransversectomy of thoracic intervertebral disc
V31.4,V31.4: Primary percutaneous endoscopic excision of thoracic intervertebral disc
V31.8,V31.8: Other specified primary excision of thoracic intervertebral disc
V31.9,V31.9: Unspecified primary excision of thoracic intervertebral disc
V32.1,V32.1: Revisional anterolateral excision of thoracic intervertebral disc and graft HFQ
V32.2,V32.2: Revisional anterolateral excision of thoracic intervertebral disc NEC
V32.3,V32.3: Revisional costotransversectomy of thoracic intervertebral disc
V32.4,V32.4: Revisional percutaneous endoscopic excision of thoracic intervertebral disc
V32.8,V32.8: Other specified revisional excision of thoracic intervertebral disc
V32.9,V32.9: Unspecified revisional excision of thoracic intervertebral disc
V33.1,V33.1: Primary laminectomy excision of lumbar intervertebral disc
V33.2,V33.2: Primary fenestration excision of lumbar intervertebral disc
V33.3,V33.3: Primary anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
V33.4,V33.4: Primary anterior excision of lumbar intervertebral disc NEC
V33.5,V33.5: Primary anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
V33.6,V33.6: Primary anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
V33.7,V33.7: Primary microdiscectomy of lumbar intervertebral disc
V33.8,V33.8: Other specified primary excision of lumbar intervertebral disc
V33.9,V33.9: Unspecified primary excision of lumbar intervertebral disc
V34.1,V34.1: Revisional laminectomy excision of lumbar intervertebral disc
V34.2,V34.2: Revisional fenestration excision of lumbar intervertebral disc
V34.3,V34.3: Revisional anterior excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
V34.4,V34.4: Revisional anterior excision of lumbar intervertebral disc NEC
V34.5,V34.5: Revisional anterior excision of lumbar intervertebral disc and posterior graft fusion of joint of lumbar spine
V34.6,V34.6: Revisional anterior excision of lumbar intervertebral disc and posterior instrumentation of lumbar spine
V34.7,V34.7: Revisional microdiscectomy of lumbar intervertebral disc
V34.8,V34.8: Other specified revisional excision of lumbar intervertebral disc
V34.9,V34.9: Unspecified revisional excision of lumbar intervertebral disc
V35.1,V35.1: Primary excision of intervertebral disc NEC
V35.2,V35.2: Revisional excision of intervertebral disc NEC
V35.8,V35.8: Other specified excision of unspecified intervertebral disc
V35.9,V35.9: Unspecified excision of unspecified intervertebral disc
V36.1,V36.1: Prosthetic replacement of cervical intervertebral disc
V36.2,V36.2: Prosthetic replacement of thoracic intervertebral disc
V36.3,V36.3: Prosthetic replacement of lumbar intervertebral disc
V36.8,V36.8: Other specified prosthetic replacement of intervertebral disc
V36.9,V36.9: Unspecified prosthetic replacement of intervertebral disc
V37.1,V37.1: Posterior fusion of atlantoaxial joint NEC
V37.2,V37.2: Posterior fusion of joint of cervical spine NEC
V37.3,V37.3: Transoral fusion of atlantoaxial joint
V37.4,V37.4: Fusion of atlanto-occipital joint
V37.5,V37.5: Posterior fusion of atlantoaxial joint using transarticular screw
V37.6,V37.6: Posterior fusion of atlantoaxial joint using pedicle screw
V37.7,V37.7: Fusion of occipitocervical junction NEC
V37.8,V37.8: Other specified primary fusion of joint of cervical spine
V37.9,V37.9: Unspecified primary fusion of joint of cervical spine
V38.1,V38.1: Primary fusion of joint of thoracic spine
V38.2,V38.2: Primary posterior interlaminar fusion of joint of lumbar spine
V38.3,V38.3: Primary posterior fusion of joint of lumbar spine NEC
V38.4,V38.4: Primary intertransverse fusion of joint of lumbar spine NEC
V38.5,V38.5: Primary posterior interbody fusion of joint of lumbar spine
V38.6,V38.6: Primary transforaminal interbody fusion of joint of lumbar spine
V38.8,V38.8: Other specified primary fusion of other joint of spine
V38.9,V38.9: Unspecified primary fusion of other joint of spine
V39.1,V39.1: Revisional fusion of joint of cervical spine NEC
V39.2,V39.2: Revisional fusion of joint of thoracic spine
V39.3,V39.3: Revisional posterior interlaminar fusion of joint of lumbar spine
V39.4,V39.4: Revisional posterior fusion of joint of lumbar spine NEC
V39.5,V39.5: Revisional intertransverse fusion of joint of lumbar spine NEC
V39.6,V39.6: Revisional posterior interbody fusion of joint of lumbar spine
V39.7,V39.7: Revisional transforaminal interbody fusion of joint of lumbar spine
V39.8,V39.8: Other specified revisional fusion of joint of spine
V39.9,V39.9: Unspecified revisional fusion of joint of spine
V40.1,V40.1: Non-rigid stabilisation of spine
V40.2,V40.2: Posterior instrumented fusion of cervical spine NEC
V40.3,V40.3: Posterior instrumented fusion of thoracic spine NEC
V40.4,V40.4: Posterior instrumented fusion of lumbar spine NEC
V40.5,V40.5: Removal of instrumentation from spine
V40.8,V40.8: Other specified stabilisation of spine
V40.9,V40.9: Unspecified stabilisation of spine
V41.1,V41.1: Posterior attachment of correctional instrument to spine
V41.2,V41.2: Anterior attachment of correctional instrument to spine
V41.3,V41.3: Removal of correctional instrument from spine
V41.4,V41.4: Anterior and posterior attachment of correctional instrument to spine
V41.5,V41.5: Posterior attachment of spinal growing system
V41.6,V41.6: Attention to spinal growing system
V41.7,V41.7: Surgical distraction of spinal growing system
V41.8,V41.8: Other specified instrumental correction of deformity of spine
V41.9,V41.9: Unspecified instrumental correction of deformity of spine
V42.1,V42.1: Excision of rib hump
V42.2,V42.2: Epiphysiodesis of spinal apophyseal joint for correction of deformity
V42.3,V42.3: Anterolateral release of spine for correction of deformity and graft HFQ
V42.4,V42.4: Anterior and posterior epiphysiodesis of spine for correction of deformity
V42.5,V42.5: Anterior epiphysiodesis of spine for correction of deformity NEC
V42.6,V42.6: Posterior epiphysiodesis of spine for correction of deformity NEC
V42.8,V42.8: Other specified other correction of deformity of spine
V42.9,V42.9: Unspecified other correction of deformity of spine
V43.1,V43.1: Excision of lesion of cervical vertebra
V43.2,V43.2: Excision of lesion of thoracic vertebra
V43.3,V43.3: Excision of lesion of lumbar vertebra
V43.8,V43.8: Other specified extirpation of lesion of spine
V43.9,V43.9: Unspecified extirpation of lesion of spine
V44.1,V44.1: Complex decompression of fracture of spine
V44.2,V44.2: Anterior decompression of fracture of spine
V44.3,V44.3: Posterior decompression of fracture of spine NEC
V44.4,V44.4: Vertebroplasty of fracture of spine
V44.5,V44.5: Balloon kyphoplasty of fracture of spine
V44.8,V44.8: Other specified decompression of fracture of spine
V44.9,V44.9: Unspecified decompression of fracture of spine
V45.1,V45.1: Open reduction of fracture of spine and excision of facet of spine
V45.2,V45.2: Open reduction of fracture of spine NEC
V45.3,V45.3: Manipulative reduction of fracture of spine
V45.8,V45.8: Other specified other reduction of fracture of spine
V45.9,V45.9: Unspecified other reduction of fracture of spine
V46.1,V46.1: Fixation of fracture of spine using plate
V46.2,V46.2: Fixation of fracture of spine using Harrington rod
V46.3,V46.3: Fixation of fracture of spine using wire
V46.4,V46.4: Fixation of fracture of spine and skull traction HFQ
V46.5,V46.5: Removal of fixation device from spine
V46.8,V46.8: Other specified fixation of fracture of spine
V46.9,V46.9: Unspecified fixation of fracture of spine
V47.1,V47.1: Biopsy of cervical vertebra
V47.2,V47.2: Biopsy of thoracic vertebra
V47.3,V47.3: Biopsy of lumbar vertebra
V47.8,V47.8: Other specified biopsy of spine
V47.9,V47.9: Unspecified biopsy of spine
V48.1,V48.1: Radiofrequency controlled thermal denervation of spinal facet joint of cervical vertebra
V48.2,V48.2: Denervation of spinal facet joint of cervical vertebra NEC
V48.3,V48.3: Radiofrequency controlled thermal denervation of spinal facet joint of thoracic vertebra
V48.4,V48.4: Denervation of spinal facet joint of thoracic vertebra NEC
V48.5,V48.5: Radiofrequency controlled thermal denervation of spinal facet joint of lumbar vertebra
V48.6,V48.6: Denervation of spinal facet joint of lumbar vertebra NEC
V48.7,V48.7: Radiofrequency controlled thermal denervation of spinal facet joint of vertebra NEC
V48.8,V48.8: Other specified denervation of spinal facet joint of vertebra
V48.9,V48.9: Unspecified denervation of spinal facet joint of vertebra
V49.1,V49.1: Exploratory cervical laminectomy
V49.2,V49.2: Exploratory thoracic laminectomy
V49.3,V49.3: Exploratory lumbar laminectomy
V49.4,V49.4: Exploratory laminectomy NEC
V49.5,V49.5: Transthoracic exploration of spine
V49.6,V49.6: Transperitoneal exploration of spine
V49.8,V49.8: Other specified exploration of spine
V49.9,V49.9: Unspecified exploration of spine
V50.1,V50.1: Manipulation of spine using traction
V50.8,V50.8: Other specified manipulation of spine
V50.9,V50.9: Unspecified manipulation of spine
V51.1,V51.1: Primary direct lateral excision of lumbar intervertebral disc and interbody fusion of joint of lumbar spine
V51.8,V51.8: Other specified other primary excision of lumbar intervertebral disc
V51.9,V51.9: Unspecified other primary excision of lumbar intervertebral disc
V52.1,V52.1: Enzyme destruction of intervertebral disc
V52.2,V52.2: Destruction of intervertebral disc NEC
V52.3,V52.3: Discography of intervertebral disc
V52.4,V52.4: Biopsy of lesion of intervertebral disc NEC
V52.5,V52.5: Aspiration of intervertebral disc NEC
V52.8,V52.8: Other specified other operations on intervertebral disc
V52.9,V52.9: Unspecified other operations on intervertebral disc
V54.1,V54.1: Transoral excision of odontoid process of axis
V54.2,V54.2: Graft of bone to spine NEC
V54.3,V54.3: Osteotomy of spine NEC
V54.4,V54.4: Injection around spinal facet of spine
V54.8,V54.8: Other specified other operations on spine
V54.9,V54.9: Unspecified other operations on spine
V55.1,V55.1: One level of spine
V55.2,V55.2: Two levels of spine
V55.3,V55.3: Greater than two levels of spine
V55.8,V55.8: Other specified levels of spine
V55.9,V55.9: Unspecified levels of spine
V56.1,V56.1: Primary laser foraminoplasty of cervical spine
V56.2,V56.2: Primary laser foraminoplasty of thoracic spine
V56.3,V56.3: Primary laser foraminoplasty of lumbar spine
V56.4,V56.4: Primary laser foraminoplasty of spine NEC
V56.8,V56.8: Other specified primary foraminoplasty of spine
V56.9,V56.9: Unspecified primary foraminoplasty of spine
V57.1,V57.1: Revisional laser foraminoplasty of cervical spine
V57.2,V57.2: Revisional laser foraminoplasty of thoracic spine
V57.3,V57.3: Revisional laser foraminoplasty of lumbar spine
V57.4,V57.4: Revisional laser foraminoplasty of spine NEC
V57.8,V57.8: Other specified revisional formaminoplasty of spine
V57.9,V57.9: Unspecified revisional formaminoplasty of spine
V58.1,V58.1: Primary automated percutaneous mechanical excision of cervical intervertebral disc
V58.2,V58.2: Primary automated percutaneous mechanical excision of thoracic intervertebral disc
V58.3,V58.3: Primary automated percutaneous mechanical excision of lumbar intervertebral disc
V58.8,V58.8: Other specified primary automated percutaneous mechanical excision of intervertebral disc
V58.9,V58.9: Unspecified primary automated percutaneous mechanical excision of intervertebral disc
V59.1,V59.1: Revisional automated percutaneous mechanical excision of cervical intervertebral disc
V59.2,V59.2: Revisional automated percutaneous mechanical excision of thoracic intervertebral disc
V59.3,V59.3: Revisional automated percutaneous mechanical excision of lumbar intervertebral disc
V59.8,V59.8: Other specified revisional automated percutaneous mechanical excision of intervertebral disc
V59.9,V59.9: Unspecified revisional automated percutaneous mechanical excision of intervertebral disc
V60.1,V60.1: Primary percutaneous decompression using coblation to cervical intervertebral disc
V60.2,V60.2: Primary percutaneous decompression using coblation to thoracic intervertebral disc
V60.3,V60.3: Primary percutaneous decompression using coblation to lumbar intervertebral disc
V60.8,V60.8: Other specified primary percutaneous decompression using coblation to intervertebral disc
V60.9,V60.9: Unspecified primary percutaneous decompression using coblation to intervertebral disc
V61.1,V61.1: Revisional percutaneous decompression using coblation to cervical intervertebral disc
V61.2,V61.2: Revisional percutaneous decompression using coblation to thoracic intervertebral disc
V61.3,V61.3: Revisional percutaneous decompression using coblation to lumbar intervertebral disc
V61.8,V61.8: Other specified revisional percutaneous decompression using coblation to intervertebral disc
V61.9,V61.9: Unspecified revisional percutaneous decompression using coblation to intervertebral disc
V62.1,V62.1: Primary percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
V62.2,V62.2: Primary percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc
V62.3,V62.3: Primary percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc
V62.8,V62.8: Other specified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
V62.9,V62.9: Unspecified primary percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
V63.1,V63.1: Revisional percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
V63.2,V63.2: Revisional percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc
V63.3,V63.3: Revisional percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc
V63.8,V63.8: Other specified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
V63.9,V63.9: Unspecified revisional percutaneous intradiscal radiofrequency thermocoagulation to intervertebral disc
V66.1,V66.1: Revisional fusion of occipitocervical junction
V66.2,V66.2: Revisional posterior fusion of atlantoaxial joint using transarticular screw
V66.3,V66.3: Revisional posterior fusion of atlantoaxial joint using pedicle screw
V66.4,V66.4: Revisional posterior fusion of atlantoaxial joint NEC
V66.8,V66.8: Other specified other revisional fusion of joint of spine
V66.9,V66.9: Unspecified other revisional fusion of joint of spine
V67.1,V67.1: Primary posterior lumbar medial facetectomy
V67.2,V67.2: Primary hemilaminectomy decompression of lumbar spine
V67.8,V67.8: Other specified other primary decompression operations on lumbar spine
V67.9,V67.9: Unspecified other primary decompression operations on lumbar spine
V68.1,V68.1: Revisional posterior lumbar medial facetectomy
V68.2,V68.2: Revisional hemilaminectomy decompression of lumbar spine
V68.8,V68.8: Other specified other revisional decompression operations on lumbar spine
V68.9,V68.9: Unspecified other revisional decompression operations on lumbar spine
V69.1,V69.1: Primary posterior laminectomy decompression of cervical spine
V69.8,V69.8: Other specified other primary decompression operations on cervical spine
V69.9,V69.9: Unspecified other primary decompression operations on cervical spine
V70.1,V70.1: Revisional posterior laminectomy decompression of cervical spine
V70.8,V70.8: Other specified other revisional decompression operations on cervical spine
V70.9,V70.9: Unspecified other revisional decompression operations on cervical spine
W01.1,W01.1: Microvascular transfer of toe to thumb
W01.2,W01.2: Pollicisation of finger
W01.3,W01.3: Reconstruction of thumb using bone graft and skin flap
W01.4,W01.4: Reconstruction of thumb using bone lengthening procedure
W01.5,W01.5: Opposition transfer to thumb
W01.8,W01.8: Other specified complex reconstruction of thumb
W01.9,W01.9: Unspecified complex reconstruction of thumb
W02.1,W02.1: Proximal row carpectomy
W02.2,W02.2: Metacarpal support operations on carpus
W02.3,W02.3: Multiple joint reconstruction of hand NEC
W02.4,W02.4: Complex reconstruction of soft tissue of hand NEC
W02.8,W02.8: Other specified other complex reconstruction of hand
W02.9,W02.9: Unspecified other complex reconstruction of hand
W03.1,W03.1: Excision of heads of multiple lesser metatarsals
W03.2,W03.2: Osteotomy of multiple metatarsals
W03.3,W03.3: Total correction of claw toe
W03.4,W03.4: Transfer of extensor hallucis longus tendon to head of first metatarsal and fusion of interphalangeal joints
W03.5,W03.5: Localised fusion of joints of midfoot and forefoot
W03.6,W03.6: Osteotomy of multiple metatarsals and fixation HFQ
W03.8,W03.8: Other specified complex reconstruction of forefoot
W03.9,W03.9: Unspecified complex reconstruction of forefoot
W04.1,W04.1: Localised fusion of joints of hindfoot
W04.2,W04.2: Triple fusion of joints of hindfoot
W04.3,W04.3: Subtalar fusion of joints of hindfoot
W04.4,W04.4: Stripping of muscle from os calcis
W04.5,W04.5: Release of medial soft tissue of hindfoot and excision of lateral wedge of os calcis and fusion of os calcis
W04.8,W04.8: Other specified complex reconstruction of hindfoot
W04.9,W04.9: Unspecified complex reconstruction of hindfoot
W05.1,W05.1: Articulated prosthetic replacement of bone
W05.2,W05.2: Implantation massive endoprosthetic replacement of bone
W05.3,W05.3: Implantation endoprosthetic replacement of bone NEC
W05.4,W05.4: Attention to massive endoprosthesis of bone
W05.5,W05.5: Attention to endoprosthesis of bone NEC
W05.8,W05.8: Other specified prosthetic replacement of bone
W05.9,W05.9: Unspecified prosthetic replacement of bone
W06.1,W06.1: Total excision of cervical rib
W06.2,W06.2: Total excision of rib NEC
W06.3,W06.3: Total excision of patella
W06.4,W06.4: Total excision of sesamoid bone NEC
W06.5,W06.5: Total excision of bone of foot NEC
W06.6,W06.6: Total excision of coccyx
W06.7,W06.7: Total excision of pelvic bones
W06.8,W06.8: Other specified total excision of bone
W06.9,W06.9: Unspecified total excision of bone
W07.1,W07.1: Excision of cross union of bone
W07.2,W07.2: Excision of periarticular ectopic bone
W07.3,W07.3: Excision of intramuscular ectopic bone
W07.8,W07.8: Other specified excision of ectopic bone
W07.9,W07.9: Unspecified excision of ectopic bone
W08.1,W08.1: Excision of natural protuberance of bone
W08.2,W08.2: Excision of overgrowth of bone
W08.3,W08.3: Excision of excrescence of bone
W08.4,W08.4: Excision of fragment of bone
W08.5,W08.5: Partial excision of bone NEC
W08.6,W08.6: Disarticulation of bone
W08.7,W08.7: Excision of accessory ossicle
W08.8,W08.8: Other specified other excision of bone
W08.9,W08.9: Unspecified other excision of bone
W09.1,W09.1: Excision of lesion of bone NEC
W09.2,W09.2: Curettage of lesion of bone and graft HFQ
W09.3,W09.3: Curettage of lesion of bone NEC
W09.4,W09.4: Destruction of lesion of bone NEC
W09.5,W09.5: Curettage of tumour of bone and graft HFQ
W09.6,W09.6: Curettage of tumour of bone NEC
W09.7,W09.7: Excision of tumour of bone
W09.8,W09.8: Other specified extirpation of lesion of bone
W09.9,W09.9: Unspecified extirpation of lesion of bone
W10.1,W10.1: Open osteoclasis and angular correction and internal fixation HFQ
W10.2,W10.2: Open osteoclasis and angular correction and external fixation HFQ
W10.3,W10.3: Open osteoclasis and angular correction NEC
W10.4,W10.4: Open osteoclasis and internal fixation NEC
W10.5,W10.5: Open osteoclasis and external fixation NEC
W10.8,W10.8: Other specified open surgical fracture of bone
W10.9,W10.9: Unspecified open surgical fracture of bone
W11.1,W11.1: Closed osteoclasis
W11.8,W11.8: Other specified other surgical fracture of bone
W11.9,W11.9: Unspecified other surgical fracture of bone
W12.1,W12.1: Biosseus angulation periarticular osteotomy and internal fixation HFQ
W12.2,W12.2: Angulation periarticular osteotomy and internal fixation NEC
W12.3,W12.3: Biosseus angulation periarticular osteotomy and external fixation HFQ
W12.4,W12.4: Angulation periarticular osteotomy and external fixation NEC
W12.5,W12.5: Biosseus angulation periarticular osteotomy NEC
W12.8,W12.8: Other specified angulation periarticular division of bone
W12.9,W12.9: Unspecified angulation periarticular division of bone
W13.1,W13.1: Rotation periarticular osteotomy
W13.2,W13.2: Displacement osteotomy
W13.3,W13.3: Cuneiform osteotomy NEC
W13.4,W13.4: Relocation and derotation osteotomy
W13.8,W13.8: Other specified other periarticular division of bone
W13.9,W13.9: Unspecified other periarticular division of bone
W14.1,W14.1: Angulation diaphyseal osteotomy and internal fixation HFQ
W14.2,W14.2: Angulation diaphyseal osteotomy and external fixation HFQ
W14.3,W14.3: Angulation diaphyseal osteotomy NEC
W14.4,W14.4: Rotation diaphyseal osteotomy and internal fixation HFQ
W14.5,W14.5: Rotation diaphyseal osteotomy and external fixation HFQ
W14.6,W14.6: Rotation diaphyseal osteotomy NEC
W14.8,W14.8: Other specified diaphyseal division of bone
W14.9,W14.9: Unspecified diaphyseal division of bone
W15.1,W15.1: Osteotomy of neck of first metatarsal bone
W15.2,W15.2: Osteotomy of base of first metatarsal bone
W15.3,W15.3: Osteotomy of first metatarsal bone NEC
W15.4,W15.4: Osteotomy of head of metatarsal bone
W15.5,W15.5: Osteotomy of midfoot tarsal bone
W15.6,W15.6: Cuneiform osteotomy of proximal phalanx with resection of head of first metatarsal
W15.7,W15.7: Osteotomy of bone of foot and fixation HFQ
W15.8,W15.8: Other specified division of bone of foot
W15.9,W15.9: Unspecified division of bone of foot
W16.1,W16.1: Multiple osteotomy and internal fixation HFQ
W16.2,W16.2: Multiple osteotomy and external fixation HFQ
W16.3,W16.3: Multiple osteotomy NEC
W16.4,W16.4: Osteotomy and internal fixation NEC
W16.5,W16.5: Osteotomy and external fixation NEC
W16.8,W16.8: Other specified other division of bone
W16.9,W16.9: Unspecified other division of bone
W17.1,W17.1: Step cut lengthening of bone
W17.2,W17.2: Traction lengthening of diaphysis of bone
W17.3,W17.3: Traction lengthening of epiphyseal plate of bone
W17.4,W17.4: Shortening of bone
W17.5,W17.5: Revision of reconstruction of bone
W17.6,W17.6: Traction lengthening of bone with intramedullary fixation
W17.8,W17.8: Other specified other reconstruction of bone
W17.9,W17.9: Unspecified other reconstruction of bone
W18.1,W18.1: Fenestration of cortex of bone
W18.2,W18.2: Saucerisation of bone
W18.3,W18.3: Sequestrectomy of bone
W18.4,W18.4: Decompression of fourage of bone
W18.5,W18.5: Insertion of drainage system into bone
W18.6,W18.6: Removal of drainage system from bone
W18.8,W18.8: Other specified drainage of bone
W18.9,W18.9: Unspecified drainage of bone
W19.1,W19.1: Primary open reduction of fracture of neck of femur and open fixation using pin and plate
W19.2,W19.2: Primary open reduction of fracture of long bone and fixation using rigid nail NEC
W19.3,W19.3: Primary open reduction of fracture of long bone and fixation using flexible nail
W19.4,W19.4: Primary open reduction of fracture of short bone and fixation using screw
W19.5,W19.5: Primary open reduction of fragment of bone and fixation using screw
W19.6,W19.6: Primary open reduction of fragment of bone and fixation using wire system
W19.8,W19.8: Other specified primary open reduction of fracture of bone and intramedullary fixation
W19.9,W19.9: Unspecified primary open reduction of fracture of bone and intramedullary fixation
W20.1,W20.1: Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC
W20.2,W20.2: Primary open reduction of fracture of long bone and extramedullary fixation using cerclage
W20.3,W20.3: Primary open reduction of fracture of long bone and extramedullary fixation using suture
W20.4,W20.4: Primary open reduction of fracture of long bone and complex extramedullary fixation NEC
W20.5,W20.5: Primary open reduction of fracture of ankle and extramedullary fixation NEC
W20.6,W20.6: Wiring of sternum
W20.8,W20.8: Other specified primary open reduction of fracture of bone and extramedullary fixation
W20.9,W20.9: Unspecified primary open reduction of fracture of bone and extramedullary fixation
W21.1,W21.1: Primary reduction of intra-articular fracture of bone using arthrotomy as approach
W21.2,W21.2: Primary excision of intra-articular fragment of intra-articular fracture of bone
W21.3,W21.3: Primary fixation of fragment of chondral cartilage of intra-articular fracture of bone
W21.4,W21.4: Primary intra-articular fixation of intra-articular fracture of bone NEC
W21.5,W21.5: Primary extra-articular reduction of intra-articular fracture of bone
W21.8,W21.8: Other specified primary open reduction of intra-articular fracture of bone
W21.9,W21.9: Unspecified primary open reduction of intra-articular fracture of bone
W22.1,W22.1: Primary open reduction of fracture of bone and skeletal traction HFQ
W22.2,W22.2: Primary open reduction of fracture of bone and external fixation HFQ
W22.8,W22.8: Other specified other primary open reduction of fracture of bone
W22.9,W22.9: Unspecified other primary open reduction of fracture of bone
W23.1,W23.1: Secondary open reduction of fracture of bone and intramedullary fixation HFQ
W23.2,W23.2: Secondary open reduction of fracture of bone and extramedullary fixation HFQ
W23.3,W23.3: Secondary open reduction of intra-articular fracture of bone
W23.4,W23.4: Secondary open reduction of fracture of bone and skeletal traction HFQ
W23.5,W23.5: Secondary open reduction of fracture of bone and external fixation HFQ
W23.6,W23.6: Secondary open reduction of fracture of bone and internal fixation HFQ
W23.8,W23.8: Other specified secondary open reduction of fracture of bone
W23.9,W23.9: Unspecified secondary open reduction of fracture of bone
W24.1,W24.1: Closed reduction of intracapsular fracture of neck of femur and fixation using nail or screw
W24.2,W24.2: Closed reduction of fracture of long bone and rigid internal fixation NEC
W24.3,W24.3: Closed reduction of fracture of long bone and flexible internal fixation HFQ
W24.4,W24.4: Closed reduction of fracture of short bone and fixation using screw
W24.5,W24.5: Closed reduction of fragment of bone and fixation using screw
W24.6,W24.6: Closed reduction of fracture of bone and fixation using nail or screw
W24.7,W24.7: Closed reduction of fracture of bone and fixation using plate
W24.8,W24.8: Other specified closed reduction of fracture of bone and internal fixation
W24.9,W24.9: Unspecified closed reduction of fracture of bone and internal fixation
W25.1,W25.1: Closed reduction of fracture of bone and fixation to skeleton HFQ
W25.2,W25.2: Closed reduction of fracture of bone and fixation using functional bracing system
W25.3,W25.3: Remanipulation of fracture of bone and external fixation HFQ
W25.8,W25.8: Other specified closed reduction of fracture of bone and external fixation
W25.9,W25.9: Unspecified closed reduction of fracture of bone and external fixation
W26.1,W26.1: Manipulation of fracture of bone and skeletal traction NEC
W26.2,W26.2: Manipulation of fracture of bone NEC
W26.3,W26.3: Remanipulation of fracture of bone and skeletal traction NEC
W26.4,W26.4: Remanipulation of fracture of bone NEC
W26.8,W26.8: Other specified other closed reduction of fracture of bone
W26.9,W26.9: Unspecified other closed reduction of fracture of bone
W27.1,W27.1: Permanent cross union epiphysiodesis
W27.2,W27.2: Epiphysioplasty
W27.3,W27.3: Insertion of staple into epiphysis
W27.4,W27.4: Removal of staple from epiphysis
W27.5,W27.5: Temporary fixation of epiphysis
W27.8,W27.8: Other specified fixation of epiphysis
W27.9,W27.9: Unspecified fixation of epiphysis
W28.1,W28.1: Application of internal fixation to bone NEC
W28.2,W28.2: Adjustment to internal fixation of bone NEC
W28.3,W28.3: Removal of internal fixation from bone NEC
W28.4,W28.4: Insertion of intramedullary fixation and cementing of bone
W28.8,W28.8: Other specified other internal fixation of bone
W28.9,W28.9: Unspecified other internal fixation of bone
